t,running,waiting
53.262,72.0,0.0
53.463,73.0,0.0
53.663,69.0,0.0
53.863,71.0,0.0
54.063,74.0,0.0
54.263,72.0,0.0
54.464,79.0,0.0
54.664,77.0,0.0
54.864,71.0,0.0
55.064,70.0,0.0
55.264,73.0,0.0
55.465,74.0,0.0
55.665,65.0,0.0
55.865,69.0,0.0
56.065,74.0,0.0
56.266,77.0,0.0
56.466,68.0,0.0
56.666,69.0,0.0
56.866,66.0,0.0
57.067,66.0,0.0
57.267,73.0,0.0
57.467,67.0,0.0
57.667,62.0,0.0
57.867,60.0,0.0
58.068,60.0,0.0
58.268,66.0,0.0
58.468,77.0,0.0
58.668,68.0,0.0
58.869,74.0,0.0
59.069,69.0,0.0
59.269,68.0,0.0
59.469,49.0,0.0
59.669,48.0,0.0
59.870,52.0,0.0
60.070,49.0,0.0
60.270,53.0,0.0
60.470,54.0,0.0
60.670,61.0,0.0
60.871,60.0,0.0
61.071,55.0,0.0
61.271,56.0,0.0
61.471,54.0,0.0
61.672,51.0,0.0
61.872,50.0,0.0
62.072,50.0,0.0
62.272,31.0,0.0
62.473,31.0,0.0
62.673,31.0,0.0
62.873,14.0,0.0
63.073,0.0,0.0
63.273,0.0,0.0
63.474,0.0,0.0
63.674,0.0,0.0
63.874,0.0,0.0
64.074,0.0,0.0
64.275,0.0,0.0
64.475,0.0,0.0
64.675,0.0,0.0
64.875,0.0,0.0
65.076,0.0,0.0
65.276,0.0,0.0
65.476,0.0,0.0
65.676,0.0,0.0
65.876,0.0,0.0
66.077,0.0,0.0
66.277,0.0,0.0
66.477,0.0,0.0
66.677,0.0,0.0
66.878,0.0,0.0
67.078,0.0,0.0
67.278,0.0,0.0
67.478,0.0,0.0
67.678,0.0,0.0
67.878,0.0,0.0
68.079,0.0,0.0
68.279,0.0,0.0
68.479,0.0,0.0
68.679,0.0,0.0
68.880,0.0,0.0
69.080,0.0,0.0
69.280,0.0,0.0
69.480,0.0,0.0
69.680,0.0,0.0
69.881,0.0,0.0
70.081,0.0,0.0
70.281,0.0,0.0
70.481,0.0,0.0
70.682,0.0,0.0
70.882,0.0,0.0
71.082,0.0,0.0
71.282,0.0,0.0
71.483,0.0,0.0
71.683,0.0,0.0
71.883,0.0,0.0
72.083,0.0,0.0
72.283,0.0,0.0
72.484,0.0,0.0
72.684,0.0,0.0
72.884,0.0,0.0
73.084,0.0,0.0
73.285,0.0,0.0
73.485,0.0,0.0
73.685,0.0,0.0
73.885,0.0,0.0
74.086,0.0,0.0
74.286,0.0,0.0
74.486,0.0,0.0
74.686,0.0,0.0
74.886,0.0,0.0
75.087,0.0,0.0
75.287,0.0,0.0
75.487,0.0,0.0
75.687,0.0,0.0
75.888,0.0,0.0
76.088,0.0,0.0
76.288,0.0,0.0
76.488,0.0,0.0
76.688,0.0,0.0
76.889,0.0,0.0
