t,running,waiting
53.266,0.0,0.0
53.466,0.0,0.0
53.666,0.0,0.0
53.867,0.0,0.0
54.067,0.0,0.0
54.267,0.0,0.0
54.467,0.0,0.0
54.668,0.0,0.0
54.868,0.0,0.0
55.068,0.0,0.0
55.269,0.0,0.0
55.469,0.0,0.0
55.669,0.0,0.0
55.869,0.0,0.0
